,carat,cut,color,clarity,depth,table,x,y,z,n_cut,n_color,n_clarity,price_predicted
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,4,6,2,633.37
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,3,0,4,509.46
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,2,6,5,854.24
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,4,3,4,678.55
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,4,3,4,447.74
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,4,4,4,778.26
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,2,4,7,14716.476666666667
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,4,0,4,5367.96
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,3,2,2,8329.61
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,2,5,1,1161.99
48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,4,3,7,933.06
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,3,5,1,4000.17
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,3,5,3,1772.37
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,4,2,1,4607.0
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,3,3,1,6042.02
53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,3,2,3,508.33
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,4,5,3,2900.04
55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,4,2,6,9312.91
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,1,4,3,395.14
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,2,4,0,2342.6525
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,4,6,2,6022.21
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,1,5,1,4258.37
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,4,2,5,1819.13
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,4,5,7,1180.04
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,3,6,5,3617.8
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,1,3,2,1456.96
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,4,3,3,1609.04
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,4,2,7,8625.39
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,3,5,6,709.38
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,4,6,3,1866.74
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,4,3,1,5897.03
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,4,5,5,966.54
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,3,1,3,550.3
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,4,3,2,638.38
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,1,5,2,4988.75
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,4,2,4,644.05
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,4,6,2,835.82
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,4,4,6,4699.07
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,3,3,3,561.79
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,3,5,3,1673.66
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,2,5,2,1398.0816666666665
79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,4,0,4,1447.21
80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,4,4,7,880.68
81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,4,3,6,1066.73
82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,4,4,3,794.05
83,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,2,2,4,4128.66
84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,3,3,1,2434.7
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,3,5,1,2277.81
86,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,2,0,3,576.71
87,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,2,3,2,2322.06
88,0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,2,6,3,3128.29
89,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,2,2,4,4350.12
90,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,2,4,1,2068.53
91,1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,3,2,3,11226.62
92,1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,2,4,2,10975.07
93,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,4,4,4,1090.13
94,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,3,3,3,5934.31
95,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,3,1,1,15669.64
96,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,4,4,5,9307.09
97,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,4,6,3,1042.17
98,0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,4,4,2,2619.38
99,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,1,5,3,6253.22
100,1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,2,1,3,4735.53
101,1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,4,1,3,5204.55
102,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,2,5,3,2794.32
103,1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,3,4,2,4898.62
104,1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,4,2,3,11454.15
105,0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,4,3,5,990.68
106,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,2,0,3,820.89
107,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,2,5,1,442.14
108,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,4,3,3,734.65
109,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,3,5,3,2733.23
110,0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,4,3,5,726.7
111,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,3,2,1,4787.75
112,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,4,5,3,1766.65
113,1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,1,3,0,3389.11
114,0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,3,5,3,1639.28
115,0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,2,4,5,539.74
116,0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,0,4,2,1080.43
117,1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,2,6,4,8708.65
118,0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,3,3,4,765.95
119,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,4,0,4,987.33
120,1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,4,0,4,8348.55
121,1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,3,4,1,4234.89
122,0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,2,3,5,849.84
123,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,4,3,7,1307.34
124,1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,4,5,3,7289.04
125,1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,3,0,2,4332.24
126,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,2,0,1,3833.75
127,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,3,5,3,2829.64
128,0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,2,2,5,559.365
129,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,4,3,1,4739.61
130,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,4,4,4,3354.6
131,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,4,6,3,1072.75
132,0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,4,1,2,1170.08
133,0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,4,5,3,1646.3
134,1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,3,4,1,3990.22
135,1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,3,2,3,4934.59
136,1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,3,2,3,5308.139285714286
137,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,1,5,4,3317.69
138,1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,3,2,1,4276.72
139,0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,1,6,2,602.42
140,1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,4,4,4,9708.96
141,0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,4,6,4,738.64
142,1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,3,3,2,4848.6
143,1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,2,5,5,9256.17
144,0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,2,4,7,509.83
145,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,2,6,4,848.81
146,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,4,4,5,2455.09
147,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,4,3,2,4634.11
148,0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,4,3,6,3508.32
149,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,2,5,2,3149.67
150,1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,4,2,2,5036.85
151,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,2,5,3,2845.51
152,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,4,4,2,982.78
153,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,4,5,3,813.48
154,1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,0,6,1,10642.52
155,1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,4,3,2,6291.27
156,0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,4,6,2,1583.89
157,0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,2,3,4,603.095
158,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,3,3,4,14103.21
159,2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,0,2,1,13126.41
160,0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,3,2,4,739.2
161,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,2,3,0,1223.96
162,1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,3,1,2,5752.54
163,0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,3,6,3,910.4
164,0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,2,2,4,1679.59
165,0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,4,5,2,3764.19
166,0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,2,3,5,935.73
167,0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,4,2,7,794.94
168,1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,4,1,1,5284.55
169,1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,2,4,1,8922.85
170,0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,4,3,4,1856.29
171,0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,4,3,6,945.93
172,0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,4,2,5,1824.37
173,0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,3,5,1,3351.17
174,0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,2,5,2,1360.65
175,1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,2,2,2,4572.14
176,1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,1,1,4,4847.21
177,1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,4,2,2,6082.15
178,2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,0,2,3,15749.75
179,1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,4,3,3,13449.19
180,2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,2,1,1,13244.53
181,0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,1,4,5,582.87
182,0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,0,3,4,2362.57
183,0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,4,3,6,3135.78
184,2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,0,2,0,6784.85
185,0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,4,0,3,1261.4
186,0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,4,6,4,1950.36
187,1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,2,1,2,5402.47
188,0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,2,4,3,1606.73
189,1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,3,4,1,7877.78
190,0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,3,1,0,1134.12
191,1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,2,2,2,10826.3
192,1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,2,6,3,7193.83
193,1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,3,4,3,13828.49
194,0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,2,5,4,3029.41
195,0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,3,4,2,952.39
196,2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,3,2,2,16971.01
197,0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,3,3,4,767.165
198,0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,4,5,5,1304.48
199,0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,4,6,5,4880.68
200,1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,3,0,2,4645.84
201,1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,4,3,4,7199.22
202,0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,4,4,0,1312.42
203,0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,3,4,2,1325.1
204,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,3,2,1,4412.38
205,0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,3,5,1,3631.000833333333
206,0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,3,4,3,2661.91
207,0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,1,4,1,1351.42
208,0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,2,3,3,2463.75
209,0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,3,3,2,3783.84
210,1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,4,3,2,4922.82
211,0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,3,2,1,2740.94
212,1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,3,3,3,6557.13
213,0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,4,5,2,2683.57
214,1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,3,3,4,6929.83
215,0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,3,5,0,2535.76
216,1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,3,4,0,3464.22
217,2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,3,2,1,15756.3075
218,0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,4,4,6,884.02
219,0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,0,1,3,3087.57
220,0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,4,5,4,3152.0
221,1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,4,3,3,17031.45
222,0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,4,2,2,2943.75
223,0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,1,1,6,2589.16
224,0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,4,3,3,810.74
225,0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,4,3,3,763.14
226,0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,3,4,3,708.7
227,1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,2,1,3,6324.345
228,1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,3,3,2,12179.48
229,1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,3,4,2,5345.85
230,0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,1,6,2,992.73
231,0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,3,5,2,2608.75
232,1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,4,3,4,6901.08
233,0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,1,0,1,2950.87
234,0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,4,4,6,849.84
235,0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,4,3,6,747.23
236,0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,2,3,2,2224.25
237,1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,3,2,7,6358.45
238,1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,2,2,1,8009.17
239,0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,2,6,4,5915.62
240,0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,1,4,5,456.92
241,0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,1,5,5,536.44
242,0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,4,4,5,969.35
243,0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,2,6,1,2531.71
244,0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,2,3,7,1276.5
245,0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,4,5,3,845.13
246,1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,3,0,5,3983.8633333333332
247,0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,4,6,1,1333.35
248,1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,3,4,0,6201.55
249,0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,1,5,2,1453.6870000000001
250,0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,4,5,4,3183.74
251,0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,1,2,3,1352.83
252,1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,3,4,1,4450.02
253,0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,4,4,3,637.08
254,1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,1,3,2,4606.5
255,1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,1,5,2,6848.23
256,1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,2,1,2,4167.78
257,1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,4,3,3,6627.31
258,0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,1,3,2,3670.8
259,0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,4,5,3,1822.24
260,0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,2,4,2,3044.14
261,0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,4,6,2,708.04
262,0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,4,2,3,2786.19
263,1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,3,2,2,6484.98
264,1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,2,0,4,8145.82
265,1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,4,2,5,8764.01
266,0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,4,4,2,2488.93
267,0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,4,1,3,1257.43
268,0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,4,5,4,1510.57
269,0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,4,3,7,1348.34
270,0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,2,4,3,802.48
271,0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,4,4,1,1298.83
272,0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,3,4,2,2497.745
273,1.5,Good,G,SI1,58.4,65.0,7.45,7.41,4.34,1,3,2,10226.29
274,1.31,Very Good,H,VS2,61.4,59.0,6.96,7.01,4.29,2,2,3,7454.396333333333
275,1.0,Very Good,D,SI1,62.1,58.0,6.34,6.45,3.97,2,6,2,5600.72
276,0.41,Premium,G,VVS1,60.3,60.0,4.78,4.74,2.87,3,3,6,1208.57
277,0.38,Ideal,F,VVS1,61.0,57.0,4.67,4.71,2.86,4,4,6,1130.61
278,0.35,Premium,E,VVS1,60.7,59.0,4.58,4.55,2.77,3,5,6,1060.29
279,0.3,Premium,D,VS2,61.7,58.0,4.32,4.3,2.66,3,6,3,886.15
280,1.13,Ideal,I,VS1,61.6,54.0,6.72,6.74,4.15,4,1,4,6589.95
281,0.37,Premium,E,VVS2,60.9,59.0,4.61,4.65,2.82,3,5,5,982.44
282,0.39,Premium,G,VVS2,60.7,61.0,4.73,4.7,2.86,3,3,5,984.5
283,0.5,Good,D,SI1,63.9,56.0,5.02,4.93,3.18,1,6,2,1246.515
284,0.31,Ideal,E,VS2,61.5,56.0,4.39,4.42,2.71,4,5,3,672.72
285,1.72,Good,D,SI2,63.4,62.0,7.53,7.59,4.79,1,6,1,11328.99
286,1.27,Ideal,H,SI1,59.8,57.0,7.08,7.01,4.22,4,2,2,6796.933333333333
287,1.0,Good,D,VS2,62.8,61.0,6.31,6.34,3.97,1,6,3,6487.08
288,1.59,Premium,I,VS2,59.9,60.0,7.61,7.57,4.55,3,1,3,9671.98
289,0.38,Very Good,F,VS2,60.9,56.0,4.67,4.72,2.86,2,4,3,767.95
290,2.39,Ideal,J,VS1,62.1,57.0,8.53,8.57,5.31,4,0,4,17038.211666666666
291,1.01,Premium,F,SI1,62.2,59.0,6.36,6.41,3.97,3,4,2,5070.6
292,0.31,Premium,H,VVS1,62.6,58.0,4.33,4.29,2.7,3,2,6,900.83
