,carat,cut,color,clarity,depth,table,x,y,z,n_cut,n_color,n_clarity,price_predicted
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,3,6,5,1355.03
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,2,1,0,1109.58
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,2,1,4,5329.51
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,4,4,5,945.82
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,4,1,6,2825.54
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,4,6,1,3497.81
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,2,3,2,1158.23
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,4,5,3,8752.52
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,4,6,4,1043.0
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,4,4,3,6669.55
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,4,6,2,592.6133333333333
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,3,0,4,502.66
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,2,6,5,887.84
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,4,3,4,651.29
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,4,3,4,482.35
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,4,4,4,716.55
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,2,4,7,11368.214666666669
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,4,0,4,5100.65
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,3,2,2,7159.8475
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,2,5,1,1394.24
48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,4,3,7,819.99
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,3,5,1,4080.98
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,3,5,3,1891.35
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,4,2,1,5379.8
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,3,3,1,6515.44
53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,3,2,3,523.27
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,4,5,3,3194.13
55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,4,2,6,8760.98
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,1,4,3,411.61
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,2,4,0,2293.05
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,4,6,2,5579.91
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,1,5,1,4788.293333333333
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,4,2,5,1762.37
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,4,5,7,1093.0766666666668
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,3,6,5,3737.37
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,1,3,2,1467.13
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,4,3,3,1738.57
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,4,2,7,8450.12
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,3,5,6,677.1
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,4,6,3,1748.6366666666665
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,4,3,1,6603.21
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,4,5,5,1103.7153333333333
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,3,1,3,588.48
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,4,3,2,615.88
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,1,5,2,4688.11
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,4,2,4,532.3266666666666
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,4,6,2,745.88
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,4,4,6,3983.62
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,3,3,3,572.08
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,3,5,3,1729.65
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,2,5,2,1377.668333333333
79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,4,0,4,1188.52
80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,4,4,7,825.47
81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,4,3,6,1247.84
82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,4,4,3,749.87
83,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,2,2,4,3826.36
84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,3,3,1,2791.0
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,3,5,1,2522.4033333333336
86,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,2,0,3,622.3
87,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,2,3,2,2303.106
88,0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,2,6,3,3093.48
89,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,2,2,4,4040.14
90,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,2,4,1,2168.52
91,1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,3,2,3,10539.23
92,1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,2,4,2,9868.6
93,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,4,4,4,1066.0
94,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,3,3,3,6580.81
95,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,3,1,1,15788.096333333333
96,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,4,4,5,8628.53
97,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,4,6,3,1047.26
98,0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,4,4,2,2419.85
99,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,1,5,3,6550.07
100,1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,2,1,3,5582.41
101,1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,4,1,3,6017.44
102,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,2,5,3,2977.17
103,1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,3,4,2,4555.09
104,1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,4,2,3,10562.71
105,0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,4,3,5,1108.12
106,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,2,0,3,854.76
107,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,2,5,1,563.17
108,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,4,3,3,860.72
109,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,3,5,3,2769.16
110,0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,4,3,5,865.988
111,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,3,2,1,4924.29
112,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,4,5,3,1922.9533333333334
113,1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,1,3,0,3009.8
114,0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,3,5,3,1714.96
115,0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,2,4,5,522.81
116,0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,0,4,2,1085.17
117,1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,2,6,4,8200.43
118,0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,3,3,4,770.97
119,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,4,0,4,954.16
120,1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,4,0,4,7757.1
121,1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,3,4,1,4459.43
122,0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,2,3,5,923.03
123,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,4,3,7,1077.905
124,1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,4,5,3,9193.34
125,1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,3,0,2,4239.57
126,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,2,0,1,3978.24
127,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,3,5,3,2896.41
128,0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,2,2,5,524.17
129,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,4,3,1,4836.11
130,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,4,4,4,3073.79
131,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,4,6,3,1047.46
132,0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,4,1,2,1173.66
133,0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,4,5,3,1700.14
134,1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,3,4,1,4345.05
135,1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,3,2,3,4828.4
136,1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,3,2,3,5280.26
137,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,1,5,4,3181.963333333333
138,1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,3,2,1,4360.94
139,0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,1,6,2,554.81
140,1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,4,4,4,8822.71
141,0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,4,6,4,711.4
142,1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,3,3,2,4730.77
143,1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,2,5,5,10442.9
144,0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,2,4,7,500.74
145,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,2,6,4,834.62
146,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,4,4,5,2263.03
147,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,4,3,2,4500.05
148,0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,4,3,6,3691.73
149,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,2,5,2,2957.26
150,1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,4,2,2,4275.88
151,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,2,5,3,2947.93
152,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,4,4,2,974.34
153,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,4,5,3,902.24
154,1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,0,6,1,13674.28
155,1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,4,3,2,5628.33
156,0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,4,6,2,1452.79
157,0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,2,3,4,588.5219999999999
158,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,3,3,4,13514.02
159,2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,0,2,1,14356.78
160,0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,3,2,4,682.29
161,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,2,3,0,1187.06
162,1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,3,1,2,5385.4
163,0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,3,6,3,873.48
164,0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,2,2,4,1449.27
165,0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,4,5,2,3683.14
166,0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,2,3,5,1022.13
167,0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,4,2,7,601.0246666666666
168,1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,4,1,1,6731.69
169,1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,2,4,1,10060.83
170,0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,4,3,4,1763.36
171,0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,4,3,6,957.6893333333334
172,0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,4,2,5,1920.66
173,0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,3,5,1,4737.01
174,0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,2,5,2,1276.28
175,1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,2,2,2,4532.21
176,1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,1,1,4,4986.11
177,1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,4,2,2,5667.32
178,2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,0,2,3,15671.47
179,1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,4,3,3,15353.01
180,2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,2,1,1,15930.55
181,0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,1,4,5,574.17
182,0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,0,3,4,2399.82
183,0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,4,3,6,3443.91
184,2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,0,2,0,7270.6
185,0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,4,0,3,1320.33
186,0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,4,6,4,1842.16
187,1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,2,1,2,5537.59
188,0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,2,4,3,1560.24
189,1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,3,4,1,9652.67
190,0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,3,1,0,1276.16
191,1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,2,2,2,9774.59
192,1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,2,6,3,7237.65
193,1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,3,4,3,13555.3
194,0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,2,5,4,2830.7
195,0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,3,4,2,944.39
196,2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,3,2,2,15503.54
197,0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,3,3,4,779.8133333333334
198,0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,4,5,5,1361.68
199,0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,4,6,5,4640.39
200,1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,3,0,2,4608.1
201,1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,4,3,4,6872.74
202,0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,4,4,0,1244.19
203,0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,3,4,2,1285.62
204,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,3,2,1,4163.72
205,0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,3,5,1,4299.93
206,0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,3,4,3,2815.81
207,0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,1,4,1,1363.63
208,0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,2,3,3,2563.17
209,0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,3,3,2,3416.4
210,1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,4,3,2,4493.64
211,0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,3,2,1,2928.12
212,1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,3,3,3,7096.12
213,0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,4,5,2,2748.875
214,1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,3,3,4,6544.25
215,0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,3,5,0,2625.58
216,1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,3,4,0,3483.38
217,2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,3,2,1,15619.71
218,0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,4,4,6,866.64
219,0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,0,1,3,3379.39
220,0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,4,5,4,2946.31
221,1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,4,3,3,17343.43
222,0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,4,2,2,2706.68
223,0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,1,1,6,2655.75
224,0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,4,3,3,863.89
225,0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,4,3,3,787.21
226,0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,3,4,3,677.39
227,1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,2,1,3,6651.623333333334
228,1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,3,3,2,11516.57
229,1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,3,4,2,4474.155
230,0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,1,6,2,953.49
231,0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,3,5,2,2401.37
232,1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,4,3,4,7097.45
233,0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,1,0,1,3051.88
234,0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,4,4,6,855.645
235,0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,4,3,6,837.2180000000001
236,0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,2,3,2,2236.83
237,1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,3,2,7,6125.11
238,1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,2,2,1,8246.4
239,0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,2,6,4,5200.45
240,0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,1,4,5,458.89
241,0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,1,5,5,560.83
242,0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,4,4,5,1014.75
243,0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,2,6,1,2686.01
244,0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,2,3,7,1068.915
245,0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,4,5,3,860.8366666666667
246,1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,3,0,5,4048.05
247,0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,4,6,1,1426.95
248,1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,3,4,0,6828.97
249,0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,1,5,2,1404.88
250,0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,4,5,4,3058.57
251,0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,1,2,3,1391.96
252,1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,3,4,1,4355.44
253,0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,4,4,3,579.76
254,1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,1,3,2,4013.07
255,1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,1,5,2,6635.45
256,1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,2,1,2,4220.54
257,1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,4,3,3,6967.15
258,0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,1,3,2,3771.71
259,0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,4,5,3,1952.94
260,0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,2,4,2,2870.54
261,0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,4,6,2,662.6713333333333
262,0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,4,2,3,2686.22
263,1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,3,2,2,5177.78
264,1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,2,0,4,7992.02
265,1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,4,2,5,8551.41
266,0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,4,4,2,2331.61
267,0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,4,1,3,1408.69
268,0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,4,5,4,1393.77
269,0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,4,3,7,1251.253
270,0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,2,4,3,787.37
271,0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,4,4,1,1397.03
272,0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,3,4,2,2325.06
273,1.5,Good,G,SI1,58.4,65.0,7.45,7.41,4.34,1,3,2,8452.94
274,1.31,Very Good,H,VS2,61.4,59.0,6.96,7.01,4.29,2,2,3,7102.166666666668
275,1.0,Very Good,D,SI1,62.1,58.0,6.34,6.45,3.97,2,6,2,5412.31
276,0.41,Premium,G,VVS1,60.3,60.0,4.78,4.74,2.87,3,3,6,1239.43
277,0.38,Ideal,F,VVS1,61.0,57.0,4.67,4.71,2.86,4,4,6,1003.62
278,0.35,Premium,E,VVS1,60.7,59.0,4.58,4.55,2.77,3,5,6,1144.25
279,0.3,Premium,D,VS2,61.7,58.0,4.32,4.3,2.66,3,6,3,835.025
280,1.13,Ideal,I,VS1,61.6,54.0,6.72,6.74,4.15,4,1,4,6623.27
281,0.37,Premium,E,VVS2,60.9,59.0,4.61,4.65,2.82,3,5,5,1039.43
282,0.39,Premium,G,VVS2,60.7,61.0,4.73,4.7,2.86,3,3,5,1156.96
283,0.5,Good,D,SI1,63.9,56.0,5.02,4.93,3.18,1,6,2,1225.2583333333334
284,0.31,Ideal,E,VS2,61.5,56.0,4.39,4.42,2.71,4,5,3,745.39
285,1.72,Good,D,SI2,63.4,62.0,7.53,7.59,4.79,1,6,1,12489.39
286,1.27,Ideal,H,SI1,59.8,57.0,7.08,7.01,4.22,4,2,2,5957.45
287,1.0,Good,D,VS2,62.8,61.0,6.31,6.34,3.97,1,6,3,6823.03
288,1.59,Premium,I,VS2,59.9,60.0,7.61,7.57,4.55,3,1,3,10371.51
289,0.38,Very Good,F,VS2,60.9,56.0,4.67,4.72,2.86,2,4,3,800.13
290,2.39,Ideal,J,VS1,62.1,57.0,8.53,8.57,5.31,4,0,4,16448.388
